log_id,user_id,session_id,timestamp,action_type,stage,region,quest_id,skill_used,experience_gained,level
d5a0a6ac-22f9-4847-8f70-0d74fed6425f,5cbc8fbb-ab04-4e88-9476-eb1b0002bd62,b64e8fc8-9f91-4e74-be8d-25853fcef0da,2025-07-23T20:19:24.336160,attack,stage_02,castle,quest_005,skill_028,63,16
51fd41f9-f90b-4f7f-b3de-45d043c73caf,b92f008c-2782-4727-937e-396bb9f815e4,e51b0050-d454-49b9-b79a-2bc920afd18a,2025-08-01T12:37:24.336160,special_attack,stage_06,city,quest_007,skill_013,66,31
547f7c9f-d2e6-4833-96c6-f62adb9bc907,05b6a359-1caa-4273-9616-6880e9fff412,93e2df4e-b079-4eca-b396-55b6fcf659e2,2025-07-25T18:10:07.336160,collect,stage_01,castle,quest_047,skill_031,55,9
e9091685-c464-4826-9702-9b52f91f1f4d,7f1d15f5-d84c-42ad-b176-5d207eb05966,c5e081a2-5fca-4a3a-8fb0-21dbdcb83f71,2025-07-23T04:02:03.336160,defend,stage_09,castle,quest_058,skill_036,42,49
7c3d8ff4-6387-4c3d-9f2e-b8d622933f37,9e9e6955-bc3f-42d3-a846-f7ef903e35d9,397c9ded-738d-449d-bcba-b12059b03f6d,2025-07-16T14:05:50.336160,jump,stage_02,castle,quest_099,skill_005,96,19
0cef0498-8261-430c-96a8-a6f6cbb9dfb3,addbf89e-9b78-4900-9c6f-d0273aa41514,b65ab2fd-3f3f-4abe-928c-e315750487b6,2025-07-30T11:57:34.336160,move,stage_06,castle,quest_009,skill_046,70,39
ab97ccd6-419e-47be-9296-9ff00885dd44,ae09fb44-722d-46cd-8a08-67488d788efa,7b8b325e-490b-4eed-bdf9-bc910e012e1d,2025-08-05T22:27:01.336160,move,stage_04,mountain,quest_071,skill_038,25,29
7dccf069-50d3-4527-827a-68df7c4f84e1,1ba22b73-d96c-4019-9aec-c1ea8ff2a92f,7d876625-b7f3-45e6-b670-a2158ba03879,2025-08-01T01:38:49.336160,attack,stage_02,city,quest_067,skill_018,17,19
78eae394-ff22-4da3-a6a1-baad41a82724,04bebc63-2c98-4023-bfc0-0d78edbeaca8,2aa651b1-b00e-43ae-b4a6-c01b4ce46d87,2025-07-20T09:09:02.336160,ultimate,stage_08,mountain,quest_062,skill_006,54,47
70539387-a9f0-4329-90de-2de853339110,db6b92cd-6e44-4af1-ab49-1dfa61709a21,84650999-ccb9-4da1-af5c-cba384e32796,2025-07-09T23:23:25.336160,move,stage_07,forest,quest_003,skill_017,72,37
13a770e3-4f9f-4292-8b11-868e8527f060,e3f59610-7e2e-468f-a5fc-ea3aaa67563c,ba82c8d5-cdf9-4545-97ef-79506e8e3dc2,2025-07-09T14:43:50.336160,jump,stage_03,castle,quest_043,skill_028,76,21
a4d97182-b54e-4d8c-bf86-7b9661540b41,d7d5109a-d4cb-457d-b826-a40d1c3ee552,ba44614e-6e97-40b3-a142-39bf05afcfdb,2025-07-27T08:56:01.336160,jump,stage_01,forest,quest_070,skill_027,18,10
d8aff62c-bcda-4dbf-9258-d0d0367920ad,ee03f7cf-8cdf-4c80-af32-cee07a152176,20de5fd3-e2f7-4e05-b7c3-3431bf101234,2025-08-03T07:11:00.336160,move,stage_04,forest,quest_019,skill_030,91,25
1ad09e9c-f1a8-4255-a91a-87537a3ea44c,6123866e-307e-4399-b91f-503b2ebd9ea2,c84f6a10-b10f-4730-8bde-74e43565ca0e,2025-07-29T11:42:05.336160,attack,stage_04,city,quest_084,skill_028,27,24
45bb6609-41e4-4e02-953f-d286bccc265a,aa283412-9f68-47d1-87e6-ddf016ad2090,98abe76e-7b74-4bb2-a137-98c7aa0fde6e,2025-07-30T12:54:12.336160,move,stage_05,forest,quest_019,skill_026,97,26
92e2adf7-edbb-4ccc-97a5-3c7d9ffbe2c1,ad4087f1-b7ae-4bdd-9e5f-3116df1cfb11,3088c221-e7f0-4582-86cd-4c3c6a7eb13e,2025-07-09T23:00:56.336160,attack,stage_04,dungeon,quest_017,skill_026,59,30
9e4ea62f-ff74-4e9d-8ce2-9e3ef3b51475,b6ba44f7-6a1d-4d25-96d6-e3ab9343e658,41dc5c26-f839-400c-a500-d7b7cebc24fa,2025-07-09T19:45:22.336160,move,stage_04,forest,quest_030,skill_019,28,22
f640f79d-a251-4e77-ad18-3a98fb34e167,7f1d15f5-d84c-42ad-b176-5d207eb05966,e8a529ed-bcde-4f00-9505-376f46ecd9fd,2025-08-05T05:31:53.336160,special_attack,stage_09,desert,quest_004,skill_010,100,50
75d76d5f-9355-41ee-8c46-70d37624a859,efb6cbc4-20af-4538-af5b-a0e520309bcc,3d4687c8-1d60-4dc7-a382-5f542eaf3389,2025-07-28T07:16:05.336160,move,stage_02,forest,quest_071,skill_002,35,12
f01bc611-e352-4f41-b02c-b2cc9ce48452,ed499a1b-d7ac-44ac-98b8-01a68cff54d7,6c5d2d8a-81c4-4723-9d7c-a0c03184ef46,2025-07-16T22:32:40.336160,defend,stage_07,desert,quest_047,skill_038,18,39
72329591-1e57-456a-8db2-59cf68b64a99,394bbaf2-8450-4349-a1b3-9770c7930c10,d117a4e1-ed3c-4171-8f9a-23f863760240,2025-07-15T04:19:32.336160,jump,stage_05,desert,quest_064,skill_047,46,33
4f0a6432-2450-438b-864f-4a1bfaf8d5d2,fcf1f01b-b289-47a6-ac38-8c566648e959,bef6a372-54a7-4c06-b72e-1788abd08e99,2025-07-16T19:49:35.336160,attack,stage_07,mountain,quest_043,skill_044,89,37
f5c56e6b-941d-4136-92ee-63ff16f5be6c,2e6d3b73-1586-44c6-a49b-0bdcd7161b03,7aeaaf18-59d0-4cf5-9dd8-3a0b2f0b85df,2025-07-10T05:27:30.336160,attack,stage_05,desert,quest_073,skill_008,72,28
6ef2e61d-f001-482e-b3b9-120fb7516f09,39d14bfa-c69c-4b10-a712-7208ace19f4b,623036f2-b1f2-4947-ada5-18195a5d4cea,2025-07-09T18:55:12.336160,attack,stage_05,castle,quest_098,skill_015,89,28
4d5fb60c-d3fa-4476-aa4a-d132c858f768,bf3b9a44-2fc9-4591-bdee-7cb01bdffc3d,9df5ed35-c379-4d30-b433-f1454eeecf7e,2025-08-01T09:11:37.336160,defend,stage_08,forest,quest_100,skill_014,77,48
4618e03d-6c00-4df1-b3ec-7f989900cadf,61cafc16-7f80-456f-9012-851e4dd0e652,89e96bc7-c2fc-46f4-ad06-1807830ff54a,2025-07-30T17:55:20.336160,defend,stage_06,mountain,quest_004,skill_022,98,35
de4cfd28-8515-4a63-8a20-4ba7834ac3e0,ec39693a-ab52-4f1e-ac3d-52fd5a9df017,7489f52c-8a0e-4807-9276-4c4553585e6a,2025-07-31T07:16:50.336160,attack,stage_06,desert,quest_038,skill_008,35,37
0af51025-0764-4702-adce-1be13c733f65,da507e07-6c36-40a9-abd5-cc2fe5d0212a,d85e3745-7cec-4669-bd0f-daff478db413,2025-07-27T11:33:52.336160,special_attack,stage_10,forest,quest_021,skill_047,92,50
94af7b84-61d0-4c34-b01b-5e992fabe5be,d1485833-de5f-411f-9c66-4e7c46de8d6b,6fd6ca5f-37b2-4c86-be97-3f1f41ea6d9b,2025-07-12T02:15:48.336160,defend,stage_10,castle,quest_014,skill_001,98,50
16dd596b-8350-4d21-b59b-2e6b824f42c0,8cb32ced-9d39-4a9e-b21c-fee7b7dbd097,7a98858d-40a7-4104-9ab4-2d3ca42353a8,2025-07-30T23:45:40.336160,jump,stage_02,dungeon,quest_073,skill_027,73,16
610b5eb2-b317-454e-9f7c-e10504dcdfda,8ff00f2c-2603-4a3d-8d16-83a04edec42b,a682c3b1-95f7-4ca0-aea0-60be875c07c7,2025-07-22T11:03:30.336160,move,stage_04,mountain,quest_100,skill_021,48,26
615739ec-0979-4bd3-b08f-6f7eccb09226,290afe03-2de3-4cd4-a1a0-3d2d53a990d4,2d9baff1-d8cd-4bbd-8178-f2743e5e45af,2025-07-19T22:19:40.336160,collect,stage_02,desert,quest_060,skill_014,68,14
f6fbbec1-e735-4bc8-aec3-cbc674116c0c,4fe0cb77-7654-433f-8ea5-c8044970be1c,cb83ab33-e639-4a65-9428-375cb69b6621,2025-07-09T23:59:42.336160,defend,stage_07,desert,quest_058,skill_010,42,40
715d1077-89ac-467f-a2b2-6554d48ab5f2,d385ebba-1d6a-430e-9206-b50ad7d75eea,fec807ea-a684-410b-8fd4-1196ec5e92e8,2025-07-16T04:24:49.336160,move,stage_10,desert,quest_021,skill_025,85,50
c0337b7c-1c0c-4078-bdf8-8e427855d3ad,21e4accd-40fa-4078-8dfe-d9f99ca56834,cf4a4d46-8d31-4944-be9e-a7c2afbab9d5,2025-07-28T21:11:00.336160,attack,stage_02,forest,quest_008,skill_038,22,13
69c92354-fdbb-4ed0-9d47-113c46f740cc,c3ff705d-8117-4d83-b609-4fd3cd9a667d,826fdbce-a033-4fea-a984-66ad505f275e,2025-07-20T11:26:51.336160,attack,stage_09,mountain,quest_096,skill_004,27,50
350c1aea-4a24-4fbe-bad3-77b9603b3a46,06eedc2d-8d50-447a-a158-6b5064e8b571,c7e6a073-f4be-42d5-8c24-a50a8d02a8f9,2025-07-31T04:22:27.336160,collect,stage_05,desert,quest_065,skill_046,87,33
8c305b7c-b637-4e5d-a07a-75785b7fe5a3,34d53d60-9c49-47b6-a259-4473d3bfea70,256787da-d506-421a-a3b8-9ede04ad7b46,2025-08-01T09:02:47.336160,move,stage_07,forest,quest_027,skill_032,44,44
84f1a51e-f062-42cb-9e23-2d0c720719f6,87343516-b7bd-4ad4-a611-45192af7ca0e,78fd685d-1e27-41f2-9ffc-706eff21518c,2025-07-27T18:53:48.336160,attack,stage_04,city,quest_029,skill_032,58,30
23f5efcf-d394-4a4b-86c3-445fda9f773d,e534828c-0009-46ff-aec9-bbdb1aaff3a4,01d33c66-0e0f-4205-9c21-ba344fa60375,2025-07-10T05:39:00.336160,collect,stage_01,castle,quest_074,skill_041,86,9
b3702ebf-b2f7-4b63-bb63-d99842b3d11a,66b2565c-bced-4f8b-9c32-a69d11d6d312,2ff8d195-e352-4310-9ce3-c4dd700e76b2,2025-08-02T16:48:54.336160,collect,stage_01,city,quest_078,skill_019,13,11
9ec8efaf-7502-43ff-8e08-1f482e79cad2,044b5f67-6598-4364-8824-01d2512a9dfe,6610c233-5081-4752-8628-908df0c528a1,2025-07-13T23:47:02.336160,defend,stage_06,dungeon,quest_035,skill_039,11,37
14aa358c-78fd-4b93-a1f7-09b1f62301d9,abe35367-decd-4bc5-a21f-a06e47f8a669,61f5d6c7-e553-448e-bd6d-20aa44a79332,2025-07-24T05:24:27.336160,attack,stage_03,city,quest_002,skill_025,19,16
f4d30e35-b65c-42dd-9da5-469b996cabee,1c55cd7a-d782-4e08-bbf5-90fc6940c178,5cf81b1e-e20f-425d-b613-c773a4aa946b,2025-07-29T03:35:15.336160,move,stage_01,city,quest_014,skill_040,90,11
175725ad-b1f1-459a-9fad-9666c9ec8893,3c36fa10-4b66-48b6-a205-eed30f2f2dee,9fcff60f-715e-4c40-9f41-68c34da9547c,2025-07-27T01:19:33.336160,ultimate,stage_08,forest,quest_060,skill_031,43,41
8042b1f4-a4f0-4c9d-9ef1-c27eb5a550fc,aa283412-9f68-47d1-87e6-ddf016ad2090,5f4d6972-9f53-467f-9fed-d8a0bf6b27e4,2025-07-16T08:14:19.336160,special_attack,stage_10,dungeon,quest_057,skill_024,94,50
b798fc57-3577-4c02-8223-94141326138d,16436ac6-dc26-42bc-a8dd-595d7eabdf13,a77fe873-b2f9-4321-be52-586a1c2c9278,2025-07-10T13:11:49.336160,defend,stage_06,castle,quest_038,skill_021,18,37
a7a27311-376f-41a7-9863-8aa22937a9e5,fcf1f01b-b289-47a6-ac38-8c566648e959,7e748b96-c5c9-4810-9f10-7c69606bd7e6,2025-07-22T05:30:07.336160,attack,stage_02,dungeon,quest_069,skill_016,59,18
f6428945-e255-452a-979d-e939f56d498e,9b301188-c7cb-473f-af61-8fe1fda24360,73fb670b-ec1d-49ef-a6cc-63bf2800b54e,2025-07-15T20:43:00.336160,move,stage_04,dungeon,quest_071,skill_027,80,23
49035f53-9eb6-4ffe-926e-00403853c61f,704c179b-9569-4e6c-9fec-d480af34b484,8bc9d393-3a5f-4e79-ae48-d6ac7b87d3b4,2025-07-12T01:25:10.336160,defend,stage_06,city,quest_013,skill_038,96,39
91a60109-54f4-4ac7-8719-ca61a7899938,0d5d0743-8a63-4db6-9e8f-00190d15fc8a,1d03b9a0-6881-480c-bcb0-c44a5aa47182,2025-07-25T05:04:53.336160,attack,stage_08,forest,quest_088,skill_029,53,46
212a5f36-4113-41cf-9e48-7ecf5ec87129,4f569c6f-d044-4c28-9fef-04dc1c36ee37,45fbed75-7c54-4741-a523-86a4eb2a51c8,2025-07-19T09:08:34.336160,move,stage_05,city,quest_041,skill_036,42,27
c6f76d50-721d-4e5f-8874-343f2ff13e28,1907b190-4d14-4029-8b86-ebaa46aaa007,a41d4e0a-a396-4e05-8e56-2e1e412d8885,2025-08-07T13:08:41.336160,move,stage_04,castle,quest_080,skill_014,30,23
ce3af86d-4d6a-47ad-b434-1ac2395a0e42,63223390-edd1-4127-92c2-8109dde1b45c,e80ea549-e1e6-49d1-a767-292c9a20689c,2025-07-17T04:45:56.336160,move,stage_04,city,quest_084,skill_028,72,23
f2e304bf-5228-4ca7-b350-7468b3226925,c89d6c89-9e7e-46f7-b173-179e16432eb1,828c6484-42e9-4d72-be00-4c08fc1b13c8,2025-07-31T03:24:14.336160,move,stage_02,dungeon,quest_081,skill_020,20,11
b85ec57f-fb33-4213-be44-e4945df5692f,0552084d-c335-41bd-aeb8-0759a8953bf1,1ee6ee7d-c1ee-482f-ac66-2393da9cfea9,2025-07-10T17:44:20.336160,attack,stage_06,dungeon,quest_052,skill_013,75,31
7dd1328d-9d23-454e-9d84-9b56feee63b4,95eb0438-ed44-49ce-ad37-ac3e19d174aa,45d28d77-815d-41fc-bcd9-9547cf9e1af8,2025-07-16T01:43:23.336160,attack,stage_05,dungeon,quest_007,skill_015,19,31
51dd1d65-f5dc-42da-9f97-15be8efc88df,7cb5b6ce-f83a-433d-8734-8ba7486cf417,a0769bf0-ebc6-4bdb-a63d-acb2e78c6bfd,2025-07-16T08:56:35.336160,jump,stage_02,mountain,quest_083,skill_034,20,18
c5623dfd-6c2c-48ad-b8b3-b3089ad31cb6,279a6744-4140-4fe9-af0f-495839490613,c9a1a316-3bf1-4ae6-887c-aaf9cc1c2724,2025-07-29T02:41:20.336160,jump,stage_02,dungeon,quest_026,skill_028,39,17
12cfd739-9780-46c5-9e13-d7ac53c63e3e,3b692ec0-c586-46e5-b709-ab0100a2abb6,6dad8175-0172-4f78-8efd-2357b1c8471b,2025-07-24T09:07:36.336160,attack,stage_02,forest,quest_042,skill_045,38,13
1ab3f9f6-afda-4058-ac59-82df08b7c1d6,b3ef67c6-4860-4ef4-8afb-d0456940b86c,b2f25fdd-c083-4e0f-b61b-9f3c333e38a5,2025-07-16T03:33:12.336160,move,stage_04,forest,quest_082,skill_006,79,22
db720f64-c25e-495f-ba0a-b29122f9b3a0,1c7acfc5-69e5-47cd-9c06-3c458b37ecec,429b0431-1d57-478f-9f95-51f948322c03,2025-07-29T22:33:55.336160,jump,stage_02,desert,quest_068,skill_034,81,11
9f34d031-f8f6-42de-bf16-13d4ab875e1f,72efeedd-d586-4741-b97f-2e5da278a329,31aac95e-969e-42e6-ac20-6713e11b72b0,2025-08-08T12:23:44.336160,attack,stage_02,desert,quest_012,skill_009,43,14
44420427-3085-4982-ac89-db70811e21c2,52f0a264-3123-4d24-90b3-e32291507981,8e84f7fe-0e5a-40f4-8132-6c12a571776d,2025-07-16T11:47:49.336160,special_attack,stage_06,mountain,quest_017,skill_007,17,32
603a6bfe-16fc-47b5-9737-ad6666563ca5,055c4568-4402-45ec-9881-ae3122371dbd,eafafcd5-828c-4408-acb1-1692125e5eb0,2025-08-07T01:21:00.336160,defend,stage_08,mountain,quest_023,skill_004,54,41
10c00f7c-98d1-424b-bca5-5b2dfbe6aa37,5e32fe47-e2cb-4866-9141-f8e453ed3236,38081583-4acc-468a-a2b3-94d4250bb1fd,2025-07-17T10:16:09.336160,move,stage_05,dungeon,quest_081,skill_047,69,27
775d36c6-8fec-44db-b63a-6b5a6627c5d9,72efeedd-d586-4741-b97f-2e5da278a329,f3675983-64c5-4d03-85ee-39bf3ba8821d,2025-07-18T22:00:43.336160,ultimate,stage_09,mountain,quest_081,skill_008,20,47
d1e454b9-56de-4ba7-80bd-b34e1fb22aef,a630d296-8763-4c4a-9db1-29ae4c556fd8,148852d8-ef5c-47bb-9030-ccd80fbb38b1,2025-07-13T02:53:23.336160,collect,stage_03,forest,quest_022,skill_011,53,16
729dba11-5f55-4628-b5bd-1506c83f47a3,c8b355c8-5352-4f7e-8005-acf3b22d429f,91f28232-7217-4b3b-a06b-9702e59941e7,2025-07-10T16:16:11.336160,jump,stage_02,mountain,quest_008,skill_034,33,17
f8fc056b-95cc-46f4-aa29-300f6237a2e5,8effbe46-1408-4396-8592-ab56913c9e01,cac61c2a-7e9f-4eff-8db7-948ba3190e29,2025-07-16T16:32:07.336160,move,stage_02,dungeon,quest_063,skill_016,81,11
c4ae3016-fbc3-4aa9-93cc-62c83d144eaf,bc46b7c3-474c-4bc9-aa92-4a57e51ca7b2,bcf70d6b-a0c1-46f3-b0f2-e4c9bdb0c6e9,2025-07-11T15:45:16.336160,move,stage_10,mountain,quest_078,skill_016,73,50
0cea8357-26ec-46f7-9307-fa0fcbf06491,432d1afa-1632-40d8-bbea-87e06a95270d,de33cece-9758-4492-ac57-a5c82c8e8e09,2025-07-13T08:42:03.336160,move,stage_03,mountain,quest_016,skill_017,58,24
64171fb7-ac2f-4957-981e-e53f2b2f9168,db4fdbb1-fa41-41d3-93cd-ac02f3a0cbfc,e66cbac4-033d-4a17-b94d-83c05f3602a9,2025-08-01T23:13:41.336160,jump,stage_01,mountain,quest_097,skill_027,18,6
f034d712-d628-43ac-a6f0-b292c5711300,1907b190-4d14-4029-8b86-ebaa46aaa007,95ac6043-64d5-4681-9288-b1c178c2a5d7,2025-07-28T01:46:38.336160,attack,stage_06,mountain,quest_070,skill_047,40,36
56c1b563-fe74-45d5-9f6f-f115caaeeaa8,507c33a9-3c11-4e8f-8237-3b361a7e4b62,8b387746-225e-4847-af3f-d69ff2706659,2025-07-31T21:49:32.336160,jump,stage_02,mountain,quest_030,skill_027,33,15
e6625487-d3b5-4563-8b85-2524d695f772,2b577272-c930-4c27-b91d-499dd1aad759,dbc3f696-e07d-4040-b7b2-647d7e3116d1,2025-07-15T03:40:32.336160,move,stage_05,mountain,quest_024,skill_049,39,29
a21c073e-d014-42b3-a73c-764ebb889e61,ec932986-cc74-4935-b451-16b8d663971e,b7e93d04-3164-4866-a1fe-27e65ffc47c4,2025-08-09T12:12:19.336160,collect,stage_03,forest,quest_100,skill_049,83,17
d5560715-5023-4e3f-a0fa-d2fd62fbfbd3,e71bdfae-7a2f-469b-8b1e-0e937f7503c4,141582f4-8c1a-4f36-8a74-9b2d78345130,2025-08-06T18:00:35.336160,attack,stage_03,castle,quest_049,skill_018,14,21
ffdd2b2a-d6fa-41f4-a162-7b69d66649b4,f94b122f-756b-46ee-bfb2-9d25d2ce711e,0e7af7ee-a8c5-4787-b782-fcb4d56bdb8c,2025-07-20T03:25:39.336160,move,stage_05,forest,quest_070,skill_024,54,33
17eaf680-cbcf-4f46-b1e2-423808bf9d8f,9ff5510c-7d1a-4e76-8374-249cad9f4637,fb633cb4-25af-46f7-946a-2e2e13bfd224,2025-07-22T11:21:00.336160,jump,stage_01,mountain,quest_061,skill_028,65,8
78c4f83e-26a5-4887-b3ae-092151c95339,90c9a969-d3e8-41d6-9eac-3cbfa548c0da,1f0598fc-0d51-488c-8305-8bd888e82b8c,2025-07-25T06:32:19.336160,move,stage_04,mountain,quest_023,skill_050,14,24
d02e07e6-afbc-4da1-9784-482b48784071,0a78455f-d900-4aae-88cf-e7b1c17c26b0,e2cdac16-85cc-432f-81ef-42250863afce,2025-08-08T23:10:54.336160,defend,stage_08,desert,quest_072,skill_025,77,43
1576de78-5047-4e40-b8dc-c6afcd9be91d,ead70ff2-d28e-438e-b1f8-fad63d6d1951,c25a29a5-a77d-4724-8a46-643b8e44006b,2025-08-03T10:54:18.336160,jump,stage_03,dungeon,quest_003,skill_001,69,24
09d82f97-8ba7-4f47-a27b-4cdbe64d07e6,3cff7cdb-eff5-4836-b383-a91b5c0f421b,59ff0509-2adf-47f5-80b0-3c003d287b0f,2025-07-20T19:00:54.336160,move,stage_02,forest,quest_067,skill_021,41,15
ff442604-4440-4884-a25a-0ae06a82885f,e032d7b0-04d5-4686-b256-7029e4101277,c70a2ba6-a7d5-4334-befc-9c3710ce2669,2025-07-11T01:30:19.336160,jump,stage_03,mountain,quest_068,skill_007,43,20
ed18f697-d7e7-4ab1-8815-8d5cabf11380,f940a47f-cbef-476b-a1b0-bf786323059a,ce95ebe1-8062-4757-85e5-2cfbfcb3ff86,2025-07-17T03:32:44.336160,collect,stage_05,city,quest_096,skill_039,31,32
37ddd1b1-b1cb-4066-b4cd-86c14aa9a948,b1777775-d10c-4d84-939a-194b7579427f,a49d2ad5-351a-403f-a006-99cde189258e,2025-07-15T20:02:53.336160,collect,stage_02,forest,quest_075,skill_045,76,12
3e8b07d8-e85b-4afc-b024-0fd30004d135,860aeca1-e1df-4ff1-9427-e061a4eac83e,dc059d1c-241a-4fb3-815e-89dd3c24f5a4,2025-07-13T19:48:38.336160,attack,stage_04,mountain,quest_090,skill_040,92,25
0ae12c9e-97f9-4e0f-ae68-cfc2714b1e0e,108f9a70-b6ce-4daa-83ee-8aca02ac9606,6d2f5c76-16fd-4afb-98be-6b52376e8ac1,2025-07-21T09:01:50.336160,attack,stage_06,dungeon,quest_095,skill_040,30,38
d9384399-19bf-4b00-836f-a43fed18b09d,c454ebf8-38b0-4585-a023-8a7b38a26799,4b5b539e-47a3-4361-9f98-ba8dcdf624ed,2025-08-02T23:41:22.336160,special_attack,stage_08,forest,quest_025,skill_024,78,50
4ff40203-a3aa-4d60-bbce-fc7a9467e51e,3fe62ea0-826f-4ea0-93a2-1ef3bbcec388,ac3e19e2-88e4-4c43-8346-cee6729ad89d,2025-07-24T05:52:18.336160,move,stage_06,city,quest_003,skill_004,20,34
